房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
C28栋03,265.07,120703.28,252.51,126707.14,31994820.00,在售,
C28栋02,208.99,74930.95,199.09,78656.98,15659820.00,在售,
C28栋01,215.17,93529.39,204.97,98183.73,20124720.00,在售,
C27栋07,214.13,98052.21,204.97,102434.11,20995920.00,在售,
C27栋06,207.98,73724.01,199.09,77016.02,15333120.00,在售,
C27栋05,207.99,73720.46,199.10,77012.15,15333120.00,在售,
C27栋03,207.98,73724.01,199.09,77016.02,15333120.00,在售,
C27栋02,207.98,73724.01,199.09,77016.02,15333120.00,在售,
C27栋01,214.13,92966.51,204.97,97121.13,19906920.00,在售,
C26栋09,213.91,98153.05,204.97,102434.11,20995920.00,在售,
C26栋08,207.76,74850.40,199.09,78110.00,15550920.00,在售,
C26栋07,207.77,74846.80,199.10,78106.07,15550920.00,在售,
C26栋06,207.76,73802.07,199.09,77016.02,15333120.00,在售,
C26栋05,207.77,74846.80,199.10,78106.07,15550920.00,在售,
C26栋03,207.76,74850.40,199.09,78110.00,15550920.00,在售,
C26栋02,207.76,74850.40,199.09,78110.00,15550920.00,在售,
C26栋01,213.91,93062.12,204.97,97121.13,19906920.00,在售,
C25栋07,214.13,112912.71,204.97,117958.72,24178000.00,在售,
C25栋06,207.98,86633.33,199.09,90501.78,18018000.00,在售,
C25栋05,207.99,86629.16,199.10,90497.23,18018000.00,在售,
C25栋03,207.98,86633.33,199.09,90501.78,18018000.00,在售,
C25栋02,207.98,86633.33,199.09,90501.78,18018000.00,在售,
C25栋01,214.13,107775.65,204.97,112592.08,23078000.00,在售,
C23栋07,214.13,105680.75,204.97,110403.57,22629420.00,在售,
C23栋06,207.98,86633.33,199.09,90501.78,18018000.00,在售,
C23栋05,207.99,86629.16,199.10,90497.23,18018000.00,在售,
C23栋03,207.98,86633.33,199.09,90501.78,18018000.00,在售,
C23栋02,207.98,86633.33,199.09,90501.78,18018000.00,在售,
C23栋01,214.13,133143.51,204.97,139093.62,28510020.00,在售,
C22栋07,218.32,91182.30,209.17,95171.00,19906920.00,在售,
C22栋06,212.18,76623.62,203.29,79974.42,16258000.00,在售,
C22栋05,212.19,76620.01,203.30,79970.48,16258000.00,在售,
C22栋03,212.18,76623.62,203.29,79974.42,16258000.00,在售,
C22栋02,212.18,76623.62,203.29,79974.42,16258000.00,在售,
C22栋01,218.32,98149.50,209.17,102442.98,21428000.00,在售,
C21栋07,218.32,99157.20,209.17,103494.76,21648000.00,在售,
C21栋06,212.18,76623.62,203.29,79974.42,16258000.00,在售,
C21栋05,212.19,76620.01,203.30,79970.48,16258000.00,在售,
C21栋03,212.18,76623.62,203.29,79974.42,16258000.00,在售,
C21栋02,212.18,76623.62,203.29,79974.42,16258000.00,在售,
C21栋01,218.32,94118.72,209.17,98235.88,20548000.00,在售,
C20栋09,188.00,85613.93,179.70,89568.28,16095420.00,在售,
C20栋08,182.66,64269.24,174.58,67243.78,11739420.00,在售,
C20栋07,182.66,64269.24,174.58,67243.78,11739420.00,在售,
C20栋06,182.67,64265.72,174.59,67239.93,11739420.00,在售,
C20栋05,182.67,64265.72,174.59,67239.93,11739420.00,在售,
C20栋03,182.66,64269.24,174.58,67243.78,11739420.00,在售,
C20栋02,182.66,64269.24,174.58,67243.78,11739420.00,在售,
C20栋01,216.05,88107.93,206.51,92178.19,19035720.00,在售,
C19栋08,250.67,109390.91,238.75,114852.43,27421020.00,在售,
C19栋07,183.31,65229.50,174.58,68491.35,11957220.00,在售,
C19栋06,183.32,65225.94,174.59,68487.42,11957220.00,在售,
C19栋05,183.31,64041.35,174.58,67243.78,11739420.00,在售,
C19栋03,183.32,64037.85,174.59,67239.93,11739420.00,在售,
C19栋02,183.31,64041.35,174.58,67243.78,11739420.00,在售,
C19栋01,188.67,81846.71,179.69,85937.00,15442020.00,在售,
C18栋05,251.02,82774.75,238.75,87028.77,20778120.00,在售,
C18栋03,204.23,56414.92,194.25,59313.35,11521620.00,在售,
C18栋02,183.57,62764.17,174.59,65992.43,11521620.00,在售,
C18栋01,188.94,78847.88,179.70,82902.17,14897520.00,在售,
C17栋09,188.00,82717.65,179.70,86538.23,15550920.00,在售,
C17栋08,182.66,62480.67,174.58,65372.43,11412720.00,在售,
C17栋07,182.66,62480.67,174.58,65372.43,11412720.00,在售,
C17栋06,182.67,62477.25,174.59,65368.69,11412720.00,在售,
C17栋05,182.67,62477.25,174.59,65368.69,11412720.00,在售,
