房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2905,88.58,21824.00,59.84,32306.00,1933192.00,在售,在售
2904,89.12,22423.00,60.20,33194.00,1998308.00,在售,在售
2806,86.61,22692.00,59.75,32893.00,1965358.00,在售,在售
2805,86.63,21804.00,59.77,31603.00,1888902.00,在售,在售
2804,87.27,21924.00,60.21,31777.00,1913301.00,在售,在售
2706,87.65,23151.00,59.75,33961.00,2029166.00,在售,在售
2705,87.67,21545.00,59.77,31602.00,1888839.00,在售,在售
2704,88.32,22383.00,60.21,32832.00,1976837.00,在售,在售
2606,86.61,22652.00,59.75,32835.00,1961893.00,在售,在售
2605,86.63,21764.00,59.77,31545.00,1885437.00,在售,在售
2604,87.27,21884.00,60.21,31719.00,1909811.00,在售,在售
2506,87.65,23350.00,59.75,34253.00,2046641.00,在售,在售
2505,87.67,21744.00,59.77,31894.00,1906318.00,在售,在售
2504,88.32,22343.00,60.21,32774.00,1973305.00,在售,在售
2406,86.61,22612.00,59.75,32776.00,1958425.00,在售,在售
2405,86.63,21724.00,59.77,31487.00,1881971.00,在售,在售
2404,87.27,21844.00,60.21,31661.00,1906320.00,在售,在售
2306,87.65,23310.00,59.75,34195.00,2043135.00,在售,在售
2206,86.61,22572.00,59.75,32719.00,1954964.00,在售,在售
2205,86.63,21684.00,59.77,31429.00,1878506.00,在售,在售
2204,87.27,21804.00,60.21,31603.00,1902829.00,在售,在售
2106,87.65,23270.00,59.75,34136.00,2039629.00,在售,在售
2105,87.67,21664.00,59.77,31777.00,1899304.00,在售,在售
2104,88.32,22263.00,60.21,32656.00,1966239.00,在售,在售
2006,86.61,22293.00,59.75,32314.00,1930768.00,在售,在售
2005,86.63,21644.00,59.77,31371.00,1875041.00,在售,在售
2004,87.27,21764.00,60.21,31545.00,1899338.00,在售,在售
1906,87.65,22991.00,59.75,33726.00,2015142.00,在售,在售
1905,87.67,21624.00,59.77,31718.00,1895798.00,在售,在售
1904,88.32,22223.00,60.21,32598.00,1962706.00,在售,在售
1806,86.61,22492.00,59.75,32603.00,1948036.00,在售,在售
1805,86.63,21125.00,59.77,30619.00,1830102.00,在售,在售
1804,87.27,21245.00,60.21,30793.00,1854068.00,在售,在售
1706,87.65,23190.00,59.75,34019.00,2032617.00,在售,在售
1705,87.67,21106.00,59.77,30957.00,1850320.00,在售,在售
1704,88.32,21704.00,60.21,31837.00,1916891.00,在售,在售
1606,86.61,22213.00,59.75,32198.00,1923839.00,在售,在售
1605,86.63,21225.00,59.77,30763.00,1838711.00,在售,在售
1604,87.27,21345.00,60.21,30937.00,1862740.00,在售,在售
1506,87.65,22911.00,59.75,33609.00,2008130.00,在售,在售
1505,87.67,21444.00,59.77,31454.00,1880017.00,在售,在售
1504,88.32,22043.00,60.21,32334.00,1946809.00,在售,在售
1406,86.61,22173.00,59.75,32140.00,1920375.00,在售,在售
1405,86.63,21185.00,59.77,30705.00,1835246.00,在售,在售
1404,87.27,21305.00,60.21,30879.00,1859249.00,在售,在售
1306,87.65,23110.00,59.75,33901.00,2025605.00,在售,在售
1305,87.67,21165.00,59.77,31044.00,1855525.00,在售,在售
1304,88.32,21763.00,60.21,31924.00,1922135.00,在售,在售
1206,86.61,22372.00,59.75,32429.00,1937642.00,在售,在售
1205,86.63,21384.00,59.77,30994.00,1852517.00,在售,在售
1204,87.27,24454.00,60.21,35445.00,2134143.00,在售,在售
1106,87.65,23070.00,59.75,33843.00,2022099.00,在售,在售
1105,87.67,21364.00,59.77,31337.00,1873003.00,在售,在售
1104,88.32,21963.00,60.21,32216.00,1939743.00,在售,在售
1006,86.61,22332.00,59.75,32371.00,1934178.00,在售,在售
1005,86.63,21344.00,59.77,30936.00,1849052.00,在售,在售
1004,87.27,21464.00,60.21,31110.00,1873157.00,在售,在售
906,87.65,23030.00,59.75,33784.00,2018593.00,在售,在售
905,87.67,21324.00,59.77,31278.00,1869497.00,在售,在售
904,88.32,21923.00,60.21,32158.00,1936210.00,在售,在售
806,86.61,22142.00,59.75,32096.00,1917722.00,在售,在售
805,86.63,21304.00,59.77,30878.00,1845587.00,在售,在售
804,87.27,21424.00,60.21,31052.00,1869666.00,在售,在售
706,87.65,22840.00,59.75,33505.00,2001939.00,在售,在售
705,87.67,21284.00,59.77,31220.00,1865990.00,在售,在售
704,88.32,21404.00,60.21,31397.00,1890395.00,在售,在售
606,86.61,22102.00,59.75,32038.00,1914258.00,在售,在售
605,86.63,21264.00,59.77,30820.00,1842122.00,在售,在售
604,87.27,20905.00,60.21,30301.00,1824396.00,在售,在售
506,87.65,22800.00,59.75,33447.00,1998433.00,在售,在售
