房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
商业3108,78.88,120000.00,76.33,124008.90,9465600.00,在售,商业
商业3107,314.09,120000.00,303.96,123999.21,37690800.00,在售,商业
商业3106,77.08,120000.00,74.59,124005.89,9249600.00,在售,商业
商业3105,231.26,120000.00,223.79,124005.54,27751200.00,在售,商业
商业3103,292.04,120000.00,282.62,123999.71,35044800.00,在售,商业
商业3102,95.51,120000.00,92.43,123998.70,11461200.00,在售,商业
商业3101,235.64,120000.00,228.04,123999.29,28276800.00,在售,商业
商业2A1115,63.55,37159.00,46.40,50893.40,2361454.00,在售,商业
商业2A1113,61.41,37725.00,44.84,51665.74,2316692.00,在售,商业
商业2A1112,91.04,46024.00,66.47,63036.33,4190025.00,在售,商业
商业2A1111,109.81,46703.00,80.18,63961.78,5128456.00,在售,商业
商业2A1110,53.22,37039.00,38.86,50726.09,1971216.00,在售,商业
商业2A1109,49.02,37489.00,35.79,51347.05,1837711.00,在售,商业
商业2A1108,51.16,37114.00,37.36,50823.12,1898752.00,在售,商业
商业2A1107,51.08,37489.00,37.29,51352.58,1914938.00,在售,商业
商业2A1106,51.08,37414.00,37.29,51249.85,1911107.00,在售,商业
商业2A1105,50.78,37414.00,37.08,51237.40,1899883.00,在售,商业
商业2A1103,52.98,37114.00,38.68,50835.05,1966300.00,在售,商业
商业2A1102,146.78,46778.00,107.17,64067.13,6866075.00,在售,商业
商业2A1101,63.55,37159.00,46.40,50893.40,2361454.00,在售,商业
商业2A1020,61.31,38121.00,44.41,52627.76,2337199.00,在售,商业
商业2A1019,63.49,37930.00,46.00,52351.65,2408176.00,在售,商业
商业2A1018,61.31,38313.00,44.41,52892.81,2348970.00,在售,商业
商业2A1017,91.32,46741.00,66.16,64516.14,4268388.00,在售,商业
商业2A1016,110.19,47508.00,79.83,65575.68,5234907.00,在售,商业
商业2A1015,51.19,38077.00,37.08,52566.39,1949162.00,在售,商业
商业2A1013,53.37,37621.00,38.67,51922.23,2007833.00,在售,商业
商业2A1012,53.42,37621.00,38.70,51930.59,2009714.00,在售,商业
商业2A1011,49.12,38077.00,35.58,52567.22,1870342.00,在售,商业
商业2A1010,51.30,37697.00,37.17,52027.33,1933856.00,在售,商业
商业2A1009,51.19,38077.00,37.08,52566.39,1949162.00,在售,商业
商业2A1008,53.41,37621.00,38.69,51934.29,2009338.00,在售,商业
商业2A1007,53.40,37621.00,38.68,51937.97,2008961.00,在售,商业
商业2A1006,57.84,37621.00,41.90,51933.15,2175999.00,在售,商业
商业2A1005,110.66,40535.00,80.17,55951.14,4485603.00,在售,商业
商业2A1003,90.14,40995.00,65.30,56589.41,3695289.00,在售,商业
商业2A1002,63.53,37930.00,46.02,52361.86,2409693.00,在售,商业
商业2A1001,61.31,38121.00,44.41,52627.76,2337199.00,在售,商业
商业2A0923,63.58,37390.00,46.00,51679.47,2377256.00,在售,商业
商业2A0922,61.39,37960.00,44.41,52473.85,2330364.00,在售,商业
商业2A0921,63.58,37580.00,46.00,51942.08,2389336.00,在售,商业
商业2A0920,61.39,37960.00,44.41,52473.85,2330364.00,在售,商业
商业2A0919,92.01,46311.00,66.35,64221.17,4261075.00,在售,商业
商业2A0918,110.08,47070.00,79.39,65265.97,5181466.00,在售,商业
商业2A0917,51.25,37725.00,37.08,52141.47,1933406.00,在售,商业
商业2A0916,53.44,37347.00,38.67,51611.68,1995824.00,在售,商业
商业2A0915,51.25,37725.00,37.08,52141.47,1933406.00,在售,商业
商业2A0913,53.44,37272.00,38.67,51508.04,1991816.00,在售,商业
商业2A0912,53.49,37272.00,38.70,51516.25,1993679.00,在售,商业
商业2A0911,49.18,37725.00,35.58,52144.91,1855316.00,在售,商业
商业2A0910,51.37,37347.00,37.17,51614.60,1918515.00,在售,商业
商业2A0909,51.25,37725.00,37.08,52141.47,1933406.00,在售,商业
商业2A0908,51.25,37649.00,37.08,52036.43,1929511.00,在售,商业
商业2A0907,53.44,37272.00,38.67,51508.04,1991816.00,在售,商业
商业2A0906,57.94,37272.00,41.92,51515.74,2159540.00,在售,商业
商业2A0905,110.21,43957.00,79.74,60753.71,4844501.00,在售,商业
商业2A0903,91.56,44033.00,66.25,60855.26,4031661.00,在售,商业
商业2A0902,61.39,37960.00,44.41,52473.85,2330364.00,在售,商业
商业2A0901,63.58,37390.00,46.00,51679.47,2377256.00,在售,商业
商业2A0828,61.59,37536.00,44.41,52056.78,2311842.00,在售,商业
商业2A0827,63.79,37347.00,46.00,51790.54,2382365.00,在售,商业
商业2A0826,61.59,37725.00,44.41,52318.91,2323483.00,在售,商业
商业2A0825,63.79,37347.00,46.00,51790.54,2382365.00,在售,商业
商业2A0823,63.79,37347.00,46.00,51790.54,2382365.00,在售,商业
商业2A0822,164.64,46778.00,118.73,64865.91,7701530.00,在售,商业
